img1001,0,233,821,47,69
img1001,0,1111,647,73,40
img1001,0,408,808,41,61
img1001,0,629,849,65,37
img1001,0,288,812,44,67
img1001,0,856,523,39,54
img1001,0,1830,336,38,47
img1001,0,373,811,37,62
img1001,0,671,398,63,33
img1001,0,443,342,56,26
img1001,0,895,532,32,58
img1001,0,1378,547,56,33
img1001,0,1052,532,28,55
img1001,0,1754,199,36,41
img1001,0,1073,628,67,32
img1001,0,744,398,49,30
img1001,0,845,465,24,41
img1001,0,56,565,39,61
img1001,0,1766,23,71,42
img1001,0,805,405,31,47
img1001,0,857,367,57,21
img1001,0,1242,0,26,34
img1001,0,909,407,24,42
img1001,0,935,383,34,60
img1001,0,1727,39,66,40
img1001,0,933,78,21,12
img1001,0,138,366,32,26
img1001,0,1077,528,29,53
img1001,0,1164,533,24,42
img1001,0,1758,33,42,37
img1001,0,1108,519,32,55
img1001,0,501,470,18,23
img1001,0,472,455,23,14
img1001,0,1113,568,19,6
img1001,0,1146,568,23,9
img1001,0,476,473,25,37
img1001,0,1702,71,20,19
img1001,0,960,499,35,13
img1001,0,1372,736,30,27
img1001,0,1704,208,15,14
img1001,0,1428,519,17,19
img1001,0,810,1069,36,11
img1001,0,1356,354,32,38
img1001,0,946,51,20,19
img1001,0,1578,863,20,20
img1001,0,1431,994,14,12
img1001,0,429,447,29,19
img1001,0,337,86,14,19
img1001,0,1696,192,16,16
img1001,1,934,382,34,62
img1001,2,1497,1057,18,21
img1001,3,96,503,17,11
img1001,3,860,322,13,18
img1001,3,840,322,13,17
img1001,3,186,814,16,21
img1001,3,97,491,19,12
img1001,3,101,475,19,17
img1001,3,851,323,13,17
img1001,3,82,531,19,19
img1001,3,342,956,15,17
img1001,3,821,503,18,19
img1002,0,1322,902,74,37
img1002,0,801,878,65,73
img1002,0,251,929,65,36
img1002,0,898,716,32,69
img1002,0,653,924,70,38
img1002,0,995,831,38,61
img1002,0,954,681,32,57
img1002,0,1023,394,34,53
img1002,0,553,718,48,41
img1002,0,990,610,35,60
img1002,0,604,837,35,64
img1002,0,956,756,34,62
img1002,0,1002,84,25,38
img1002,0,1043,619,36,61
img1002,0,0,61,24,17
img1002,0,996,14,28,39
img1002,0,566,834,36,75
img1002,0,1001,52,22,34
img1002,0,900,786,30,29
img1002,0,436,1067,69,12
img1002,0,273,1067,63,12
img1002,0,599,691,25,9
img1002,0,894,621,27,48
img1002,0,692,1067,69,13
img1002,0,325,935,21,24
img1002,0,1067,673,15,29
img1002,0,931,784,13,25
img1002,0,155,0,19,8
img1002,1,1012,446,36,61
img1002,1,505,833,38,71
img1002,1,890,614,32,57
img1002,1,564,834,38,72
img1002,3,830,717,29,25
img1002,3,830,763,38,28
img1002,3,1349,1048,37,19
img1002,3,1056,943,21,19
img1002,3,325,934,22,30
img1002,3,831,777,30,19
img1002,3,827,854,29,18
img1002,3,828,827,30,23
img1002,3,828,814,30,17
img1002,3,923,414,16,23
img1002,3,884,82,23,13
img1002,3,884,14,23,19
img1002,3,885,62,22,17
img1002,3,934,810,17,27
img1002,3,834,839,22,15
img1002,3,966,634,16,30
img1002,3,883,6,26,17
img1002,3,883,40,25,17
img1002,3,888,204,21,15
img1002,3,890,30,17,16
img1002,3,836,847,19,11
img1002,3,892,189,16,18
img1002,3,890,68,17,17
img1002,3,892,202,17,11
img1002,3,890,36,17,11
img1002,3,931,784,13,25
img1002,3,889,177,22,16
img1002,3,895,184,15,9
img1002,3,893,197,16,9
img1003,0,985,569,39,73
img1003,0,865,834,40,75
img1003,0,818,863,40,75
img1003,0,1100,802,69,34
img1003,0,1201,792,80,39
img1003,0,1581,565,74,62
img1003,0,1299,155,67,37
img1003,0,964,842,71,34
img1003,0,1101,720,77,74
img1003,0,863,218,35,68
img1003,0,1189,481,70,72
img1003,0,1167,357,76,39
img1003,0,1114,894,69,35
img1003,0,965,763,66,33
img1003,0,1631,367,77,40
img1003,0,662,232,63,86
